title,img1,img2,price,status,brand
[FX1200] W ADIDAS ADILETTE SHOWER CORE BLACK/SIGNAL PINK,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-shower-slides-black-fx1200-02-standard.jpg?v=1640078598000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-shower-slides-black-fx1200-010-hover-standard.jpg?v=1640078580000,750.000?,37|38,ADIDAS
[DA2638-200] K NIKE KAWA SE 2 BEACH & POOL SLIDES SLIPPER,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-se-2-little-big-kids-slides-w2kplg.png?v=1638874684000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/ad02d81b2787bca54ae66f89b12319c6.jpg?v=1638874684000,950.000?,36|37.5|38.5|40,NIKE
"[DD3242-001] K NIKE KAWA SLIDE FUN ""BLACK VOLT""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-younger-older-slide-pltgm7-7754c0cc-78bc-4a72-93fd-8363edcf907f.png?v=1638873950000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/kawa-younger-older-slide-pltgm7.png?v=1638873950000,950.000?,36|37.5|38.5|40,NIKE
"[CI8799-003] W NIKE ASUNA SLIDE ""BLACK/WHITE""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/asuna-slides-5qwfzs-8dc78930-fdaf-481d-a0b3-50f226534e05.png?v=1638095826000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/asuna-slides-5qwfzs.png?v=1638095809000,1.350.000?,36.5|38|39,NIKE
"[CI8799-100] W NIKE ASUNA SLIDE "" WHITE/WASHED CORAL""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/wmns-nike-asuna-slide-whitewashed-coral-5e935a4a4dcd2-jpeg.jpg?v=1638096174000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/wmns-nike-asuna-slide-whitewashed-coral-5e935a4a49cf4-jpeg.jpg?v=1638096174000,1.350.000?,38|39|36.5,NIKE
"[AR6374-301] M NIKE AIR JORDAN BREAK SLIDES ""CYBER /FUCHSIA""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-break-slide-5xss6s-1-1024x1024-2x-jpg-v-1598957363.jpg?v=1638096310000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/jordan-break-cyber-volt-slide-1024x1024-2x-jpg-v-1598957322.jpg?v=1638096310000,1.150.000?,42.5,JORDAN
"[834588-605] W NIKE KAWA SLIDE PINK PRIME ""ORGANE PEEL""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/0000200740263-04-dd.jpg?v=1638096779000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/0000200740263-02-dd.jpg?v=1638096779000,950.000?,36.5,NIKE
"[819717-010] W NIKE BENASSI DUO ULTRA ""BLACK""",https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/819717-010-p2.jpg?v=1638096609000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/benassi-duo-ultra-womens-slide-kytdpnwq.jpg?v=1638096609000,1.350.000?,36.5|38|39,NIKE
[GZ8144] W ADIDAS ADILETTE LITE SLIDES 'PURPLE TINT',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-white-gz8144-01-standard.jpg?v=1636891357000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-lite-slides-white-gz8144-02-standard-hover.jpg?v=1636891346000,900.000?,37|38|39,ADIDAS
[EG7645] W ADIDAS ADILETTE COMFORT SLIDES 'PURPLE TINT',https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-comfort-slides-purple-eg7645-06-standard-480x480-jpg-v-1594983513.jpg?v=1636890381000,https://bizweb.dktcdn.net/thumb/grande/100/377/398/products/adilette-comfort-slides-purple-eg7645-02-standard-480x480-jpg-v-1594983513.jpg?v=1636890331000,699.000?,37|38|39,ADIDAS
